"date","temp_c","dew_c","humidity","wind_kph","pressure_hg","precip_mm","district","year","month"
2010-01-10,6.06,0,68,13.14,30.39,0,"chiyoda-ku",2010,"january"
2010-01-11,4.04,1.01,78,10.11,30.39,0,"chiyoda-ku",2010,"january"
2010-01-12,4.04,2.02,88,8.09,30.12,2.12,"chiyoda-ku",2010,"january"
2010-01-13,4.04,-1.01,71,16.17,29.97,0,"chiyoda-ku",2010,"january"
2010-01-14,3.03,-4.04,63,8.09,30.33,0,"chiyoda-ku",2010,"january"
2010-01-15,4.04,-1.01,69,5.05,30.45,0.1,"chiyoda-ku",2010,"january"
2010-01-16,3.03,-3.03,65,14.15,30.57,0.1,"chiyoda-ku",2010,"january"
2010-01-17,4.04,-4.04,58,10.11,30.65,0,"chiyoda-ku",2010,"january"
2010-01-18,4.04,-1.01,66,8.09,30.65,0,"chiyoda-ku",2010,"january"
2010-01-19,8.09,5.05,71,8.09,30.71,0,"chiyoda-ku",2010,"january"
2010-01-20,11.12,5.05,67,13.14,30.54,0,"chiyoda-ku",2010,"january"
2010-01-21,13.14,8.09,77,22.24,30.03,0.71,"chiyoda-ku",2010,"january"
2010-01-22,5.05,-1.01,60,13.14,30.3,0,"chiyoda-ku",2010,"january"
2010-01-23,5.05,1.01,73,10.11,30.24,0.1,"chiyoda-ku",2010,"january"
2010-01-24,6.06,1.01,65,10.11,30.42,0.1,"chiyoda-ku",2010,"january"
2010-01-25,8.09,2.02,63,10.11,30.27,0,"chiyoda-ku",2010,"january"
2010-01-26,5.05,-2.02,59,19.21,30.45,0,"chiyoda-ku",2010,"january"
2010-01-27,7.08,1.01,62,12.13,30.57,0,"chiyoda-ku",2010,"january"
2010-01-28,11.12,6.06,77,19.21,30.18,0,"chiyoda-ku",2010,"january"
2010-01-29,7.08,6.06,86,10.11,30.21,0.4,"chiyoda-ku",2010,"january"
2010-01-30,7.08,3.03,70,10.11,30.39,0.61,"chiyoda-ku",2010,"january"
2010-01-31,8.09,4.04,72,8.09,30.42,0,"chiyoda-ku",2010,"january"
2010-01-01,4.07,-2.04,66,9.17,30.2,0,"chuo-ku",2010,"january"
2010-01-02,5.09,-1.02,63,7.13,30.35,0,"chuo-ku",2010,"january"
2010-01-03,4.07,1.02,79,13.24,30.32,0,"chuo-ku",2010,"january"
2010-01-04,5.09,0,70,10.19,30.5,0,"chuo-ku",2010,"january"
2010-01-05,9.17,4.07,72,18.33,30.2,0.81,"chuo-ku",2010,"january"
2010-01-06,5.09,-1.02,64,11.2,30.29,0,"chuo-ku",2010,"january"
2010-01-07,6.11,-1.02,62,14.26,30.26,0,"chuo-ku",2010,"january"
2010-01-08,6.11,0,67,12.22,30.44,0,"chuo-ku",2010,"january"
2010-01-09,6.11,0,64,10.19,30.59,0,"chuo-ku",2010,"january"
2010-01-10,6.11,0,68,13.24,30.62,0,"chuo-ku",2010,"january"
2010-01-11,4.07,1.02,78,10.19,30.62,0,"chuo-ku",2010,"january"
2010-01-12,4.07,2.04,88,8.15,30.35,2.14,"chuo-ku",2010,"january"
2010-01-13,4.07,-1.02,71,16.3,30.2,0,"chuo-ku",2010,"january"
2010-01-14,3.06,-4.07,63,8.15,30.56,0,"chuo-ku",2010,"january"
2010-01-15,4.07,-1.02,69,5.09,30.68,0.1,"chuo-ku",2010,"january"
2010-01-16,3.06,-3.06,65,14.26,30.8,0.1,"chuo-ku",2010,"january"
2010-01-17,4.07,-4.07,58,10.19,30.89,0,"chuo-ku",2010,"january"
2010-01-18,4.07,-1.02,66,8.15,30.89,0,"chuo-ku",2010,"january"
2010-01-19,8.15,5.09,71,8.15,30.95,0,"chuo-ku",2010,"january"
2010-01-20,11.2,5.09,67,13.24,30.77,0,"chuo-ku",2010,"january"
2010-01-21,13.24,8.15,77,22.41,30.26,0.71,"chuo-ku",2010,"january"
2010-01-22,5.09,-1.02,60,13.24,30.53,0,"chuo-ku",2010,"january"
2010-01-23,5.09,1.02,73,10.19,30.47,0.1,"chuo-ku",2010,"january"
2010-01-24,6.11,1.02,65,10.19,30.65,0.1,"chuo-ku",2010,"january"
2010-01-25,8.15,2.04,63,10.19,30.5,0,"chuo-ku",2010,"january"
2010-01-26,5.09,-2.04,59,19.35,30.68,0,"chuo-ku",2010,"january"
2010-01-27,7.13,1.02,62,12.22,30.8,0,"chuo-ku",2010,"january"
2010-01-28,11.2,6.11,77,19.35,30.41,0,"chuo-ku",2010,"january"
2010-01-29,7.13,6.11,86,10.19,30.44,0.41,"chuo-ku",2010,"january"
2010-01-30,7.13,3.06,70,10.19,30.62,0.61,"chuo-ku",2010,"january"
2010-01-31,8.15,4.07,72,8.15,30.65,0,"chuo-ku",2010,"january"
2010-01-01,3.96,-1.98,66,8.9,29.32,0,"edogawa-ku",2010,"january"
2010-01-02,4.94,-0.99,63,6.92,29.47,0,"edogawa-ku",2010,"january"
2010-01-03,3.96,0.99,79,12.86,29.44,0,"edogawa-ku",2010,"january"
2010-01-04,4.94,0,70,9.89,29.61,0,"edogawa-ku",2010,"january"
2010-01-05,8.9,3.96,72,17.8,29.32,0.79,"edogawa-ku",2010,"january"
2010-01-06,4.94,-0.99,64,10.88,29.41,0,"edogawa-ku",2010,"january"
2010-01-07,5.93,-0.99,62,13.84,29.38,0,"edogawa-ku",2010,"january"
2010-01-08,5.93,0,67,11.87,29.55,0,"edogawa-ku",2010,"january"
2010-01-09,5.93,0,64,9.89,29.7,0,"edogawa-ku",2010,"january"
2010-01-10,5.93,0,68,12.86,29.73,0,"edogawa-ku",2010,"january"
2010-01-11,3.96,0.99,78,9.89,29.73,0,"edogawa-ku",2010,"january"
2010-01-12,3.96,1.98,88,7.91,29.47,2.08,"edogawa-ku",2010,"january"
2010-01-13,3.96,-0.99,71,15.82,29.32,0,"edogawa-ku",2010,"january"
2010-01-14,2.97,-3.96,63,7.91,29.67,0,"edogawa-ku",2010,"january"
2010-01-15,3.96,-0.99,69,4.94,29.79,0.1,"edogawa-ku",2010,"january"
2010-01-16,2.97,-2.97,65,13.84,29.9,0.1,"edogawa-ku",2010,"january"
2010-01-17,3.96,-3.96,58,9.89,29.99,0,"edogawa-ku",2010,"january"
2010-01-18,3.96,-0.99,66,7.91,29.99,0,"edogawa-ku",2010,"january"
2010-01-19,7.91,4.94,71,7.91,30.05,0,"edogawa-ku",2010,"january"
2010-01-20,10.88,4.94,67,12.86,29.87,0,"edogawa-ku",2010,"january"
2010-01-21,12.86,7.91,77,21.76,29.38,0.69,"edogawa-ku",2010,"january"
2010-01-22,4.94,-0.99,60,12.86,29.64,0,"edogawa-ku",2010,"january"
2010-01-23,4.94,0.99,73,9.89,29.58,0.1,"edogawa-ku",2010,"january"
2010-01-24,5.93,0.99,65,9.89,29.76,0.1,"edogawa-ku",2010,"january"
2010-01-25,7.91,1.98,63,9.89,29.61,0,"edogawa-ku",2010,"january"
2010-01-26,4.94,-1.98,59,18.79,29.79,0,"edogawa-ku",2010,"january"
2010-01-27,6.92,0.99,62,11.87,29.9,0,"edogawa-ku",2010,"january"
2010-01-28,10.88,5.93,77,18.79,29.52,0,"edogawa-ku",2010,"january"
2010-01-29,6.92,5.93,86,9.89,29.55,0.4,"edogawa-ku",2010,"january"
2010-01-30,6.92,2.97,70,9.89,29.73,0.59,"edogawa-ku",2010,"january"
2010-01-31,7.91,3.96,72,7.91,29.76,0,"edogawa-ku",2010,"january"
2010-01-01,4.19,-2.09,66,9.42,31.03,0,"itabashi-ku",2010,"january"
2010-01-02,5.23,-1.05,63,7.33,31.18,0,"itabashi-ku",2010,"january"
2010-01-03,4.19,1.05,79,13.61,31.15,0,"itabashi-ku",2010,"january"
2010-01-04,5.23,0,70,10.47,31.34,0,"itabashi-ku",2010,"january"
2010-01-05,9.42,4.19,72,18.84,31.03,0.84,"itabashi-ku",2010,"january"
2010-01-06,5.23,-1.05,64,11.51,31.12,0,"itabashi-ku",2010,"january"
2010-01-07,6.28,-1.05,62,14.65,31.09,0,"itabashi-ku",2010,"january"
2010-01-08,6.28,0,67,12.56,31.28,0,"itabashi-ku",2010,"january"
2010-01-09,6.28,0,64,10.47,31.43,0,"itabashi-ku",2010,"january"
2010-01-10,6.28,0,68,13.61,31.46,0,"itabashi-ku",2010,"january"
2010-01-11,4.19,1.05,78,10.47,31.46,0,"itabashi-ku",2010,"january"
2010-01-12,4.19,2.09,88,8.37,31.18,2.2,"itabashi-ku",2010,"january"
2010-01-13,4.19,-1.05,71,16.75,31.03,0,"itabashi-ku",2010,"january"
2010-01-14,3.14,-4.19,63,8.37,31.4,0,"itabashi-ku",2010,"january"
2010-01-15,4.19,-1.05,69,5.23,31.52,0.1,"itabashi-ku",2010,"january"
2010-01-16,3.14,-3.14,65,14.65,31.65,0.1,"itabashi-ku",2010,"january"
2010-01-17,4.19,-4.19,58,10.47,31.74,0,"itabashi-ku",2010,"january"
2010-01-18,4.19,-1.05,66,8.37,31.74,0,"itabashi-ku",2010,"january"
2010-01-19,8.37,5.23,71,8.37,31.8,0,"itabashi-ku",2010,"january"
2010-01-20,11.51,5.23,67,13.61,31.62,0,"itabashi-ku",2010,"january"
2010-01-21,13.61,8.37,77,23.03,31.09,0.73,"itabashi-ku",2010,"january"
2010-01-22,5.23,-1.05,60,13.61,31.37,0,"itabashi-ku",2010,"january"
2010-01-23,5.23,1.05,73,10.47,31.31,0.1,"itabashi-ku",2010,"january"
2010-01-24,6.28,1.05,65,10.47,31.49,0.1,"itabashi-ku",2010,"january"
2010-01-25,8.37,2.09,63,10.47,31.34,0,"itabashi-ku",2010,"january"
2010-01-26,5.23,-2.09,59,19.89,31.52,0,"itabashi-ku",2010,"january"
2010-01-27,7.33,1.05,62,12.56,31.65,0,"itabashi-ku",2010,"january"
2010-01-28,11.51,6.28,77,19.89,31.25,0,"itabashi-ku",2010,"january"
2010-01-29,7.33,6.28,86,10.47,31.28,0.42,"itabashi-ku",2010,"january"
2010-01-30,7.33,3.14,70,10.47,31.46,0.63,"itabashi-ku",2010,"january"
2010-01-31,8.37,4.19,72,8.37,31.49,0,"itabashi-ku",2010,"january"
2010-01-01,3.89,-1.95,66,8.76,28.86,0,"katsushika-ku",2010,"january"
2010-01-02,4.87,-0.97,63,6.81,29,0,"katsushika-ku",2010,"january"
2010-01-03,3.89,0.97,79,12.65,28.97,0,"katsushika-ku",2010,"january"
2010-01-04,4.87,0,70,9.73,29.15,0,"katsushika-ku",2010,"january"
2010-01-05,8.76,3.89,72,17.52,28.86,0.78,"katsushika-ku",2010,"january"
2010-01-06,4.87,-0.97,64,10.71,28.95,0,"katsushika-ku",2010,"january"
2010-01-07,5.84,-0.97,62,13.63,28.92,0,"katsushika-ku",2010,"january"
2010-01-08,5.84,0,67,11.68,29.09,0,"katsushika-ku",2010,"january"
2010-01-09,5.84,0,64,9.73,29.23,0,"katsushika-ku",2010,"january"
2010-01-10,5.84,0,68,12.65,29.26,0,"katsushika-ku",2010,"january"
2010-01-11,3.89,0.97,78,9.73,29.26,0,"katsushika-ku",2010,"january"
2010-01-12,3.89,1.95,88,7.79,29,2.04,"katsushika-ku",2010,"january"
2010-01-13,3.89,-0.97,71,15.57,28.86,0,"katsushika-ku",2010,"january"
2010-01-14,2.92,-3.89,63,7.79,29.2,0,"katsushika-ku",2010,"january"
2010-01-15,3.89,-0.97,69,4.87,29.32,0.1,"katsushika-ku",2010,"january"
2010-01-16,2.92,-2.92,65,13.63,29.43,0.1,"katsushika-ku",2010,"january"
2010-01-17,3.89,-3.89,58,9.73,29.52,0,"katsushika-ku",2010,"january"
2010-01-18,3.89,-0.97,66,7.79,29.52,0,"katsushika-ku",2010,"january"
2010-01-19,7.79,4.87,71,7.79,29.58,0,"katsushika-ku",2010,"january"
2010-01-20,10.71,4.87,67,12.65,29.41,0,"katsushika-ku",2010,"january"
2010-01-21,12.65,7.79,77,21.41,28.92,0.68,"katsushika-ku",2010,"january"
2010-01-22,4.87,-0.97,60,12.65,29.18,0,"katsushika-ku",2010,"january"
2010-01-23,4.87,0.97,73,9.73,29.12,0.1,"katsushika-ku",2010,"january"
2010-01-24,5.84,0.97,65,9.73,29.29,0.1,"katsushika-ku",2010,"january"
2010-01-25,7.79,1.95,63,9.73,29.15,0,"katsushika-ku",2010,"january"
2010-01-26,4.87,-1.95,59,18.49,29.32,0,"katsushika-ku",2010,"january"
2010-01-27,6.81,0.97,62,11.68,29.43,0,"katsushika-ku",2010,"january"
2010-01-28,10.71,5.84,77,18.49,29.06,0,"katsushika-ku",2010,"january"
2010-01-29,6.81,5.84,86,9.73,29.09,0.39,"katsushika-ku",2010,"january"
2010-01-30,6.81,2.92,70,9.73,29.26,0.58,"katsushika-ku",2010,"january"
2010-01-31,7.79,3.89,72,7.79,29.29,0,"katsushika-ku",2010,"january"
2010-01-01,4.11,-2.05,66,9.25,30.46,0,"kita-ku",2010,"january"
2010-01-02,5.14,-1.03,63,7.19,30.61,0,"kita-ku",2010,"january"
2010-01-03,4.11,1.03,79,13.35,30.58,0,"kita-ku",2010,"january"
2010-01-04,5.14,0,70,10.27,30.76,0,"kita-ku",2010,"january"
2010-01-05,9.25,4.11,72,18.49,30.46,0.82,"kita-ku",2010,"january"
2010-01-06,5.14,-1.03,64,11.3,30.55,0,"kita-ku",2010,"january"
2010-01-07,6.16,-1.03,62,14.38,30.52,0,"kita-ku",2010,"january"
2010-01-08,6.16,0,67,12.33,30.7,0,"kita-ku",2010,"january"
2010-01-09,6.16,0,64,10.27,30.85,0,"kita-ku",2010,"january"
2010-01-10,6.16,0,68,13.35,30.88,0,"kita-ku",2010,"january"
2010-01-11,4.11,1.03,78,10.27,30.88,0,"kita-ku",2010,"january"
2010-01-12,4.11,2.05,88,8.22,30.61,2.16,"kita-ku",2010,"january"
2010-01-13,4.11,-1.03,71,16.44,30.46,0,"kita-ku",2010,"january"
2010-01-14,3.08,-4.11,63,8.22,30.82,0,"kita-ku",2010,"january"
2010-01-15,4.11,-1.03,69,5.14,30.94,0.1,"kita-ku",2010,"january"
2010-01-16,3.08,-3.08,65,14.38,31.06,0.1,"kita-ku",2010,"january"
2010-01-17,4.11,-4.11,58,10.27,31.16,0,"kita-ku",2010,"january"
2010-01-18,4.11,-1.03,66,8.22,31.16,0,"kita-ku",2010,"january"
2010-01-19,8.22,5.14,71,8.22,31.22,0,"kita-ku",2010,"january"
2010-01-20,11.3,5.14,67,13.35,31.03,0,"kita-ku",2010,"january"
2010-01-21,13.35,8.22,77,22.6,30.52,0.72,"kita-ku",2010,"january"
2010-01-22,5.14,-1.03,60,13.35,30.79,0,"kita-ku",2010,"january"
2010-01-23,5.14,1.03,73,10.27,30.73,0.1,"kita-ku",2010,"january"
2010-01-24,6.16,1.03,65,10.27,30.91,0.1,"kita-ku",2010,"january"
2010-01-25,8.22,2.05,63,10.27,30.76,0,"kita-ku",2010,"january"
2010-01-26,5.14,-2.05,59,19.52,30.94,0,"kita-ku",2010,"january"
2010-01-27,7.19,1.03,62,12.33,31.06,0,"kita-ku",2010,"january"
2010-01-28,11.3,6.16,77,19.52,30.67,0,"kita-ku",2010,"january"
2010-01-29,7.19,6.16,86,10.27,30.7,0.41,"kita-ku",2010,"january"
2010-01-30,7.19,3.08,70,10.27,30.88,0.62,"kita-ku",2010,"january"
2010-01-31,8.22,4.11,72,8.22,30.91,0,"kita-ku",2010,"january"
2010-01-01,4.06,-2.03,66,9.13,30.07,0,"koto-ku",2010,"january"
2010-01-02,5.07,-1.01,63,7.1,30.22,0,"koto-ku",2010,"january"
2010-01-03,4.06,1.01,79,13.18,30.19,0,"koto-ku",2010,"january"
2010-01-04,5.07,0,70,10.14,30.37,0,"koto-ku",2010,"january"
2010-01-05,9.13,4.06,72,18.25,30.07,0.81,"koto-ku",2010,"january"
2010-01-06,5.07,-1.01,64,11.16,30.16,0,"koto-ku",2010,"january"
2010-01-07,6.08,-1.01,62,14.2,30.13,0,"koto-ku",2010,"january"
2010-01-08,6.08,0,67,12.17,30.31,0,"koto-ku",2010,"january"
2010-01-09,6.08,0,64,10.14,30.46,0,"koto-ku",2010,"january"
2010-01-10,6.08,0,68,13.18,30.49,0,"koto-ku",2010,"january"
2010-01-11,4.06,1.01,78,10.14,30.49,0,"koto-ku",2010,"january"
2010-01-12,4.06,2.03,88,8.11,30.22,2.13,"koto-ku",2010,"january"
2010-01-13,4.06,-1.01,71,16.23,30.07,0,"koto-ku",2010,"january"
2010-01-14,3.04,-4.06,63,8.11,30.43,0,"koto-ku",2010,"january"
2010-01-15,4.06,-1.01,69,5.07,30.55,0.1,"koto-ku",2010,"january"
2010-01-16,3.04,-3.04,65,14.2,30.67,0.1,"koto-ku",2010,"january"
2010-01-17,4.06,-4.06,58,10.14,30.75,0,"koto-ku",2010,"january"
2010-01-18,4.06,-1.01,66,8.11,30.75,0,"koto-ku",2010,"january"
2010-01-19,8.11,5.07,71,8.11,30.81,0,"koto-ku",2010,"january"
2010-01-20,11.16,5.07,67,13.18,30.64,0,"koto-ku",2010,"january"
2010-01-21,13.18,8.11,77,22.31,30.13,0.71,"koto-ku",2010,"january"
2010-01-22,5.07,-1.01,60,13.18,30.4,0,"koto-ku",2010,"january"
2010-01-23,5.07,1.01,73,10.14,30.34,0.1,"koto-ku",2010,"january"
2010-01-24,6.08,1.01,65,10.14,30.52,0.1,"koto-ku",2010,"january"
2010-01-25,8.11,2.03,63,10.14,30.37,0,"koto-ku",2010,"january"
2010-01-26,5.07,-2.03,59,19.27,30.55,0,"koto-ku",2010,"january"
2010-01-27,7.1,1.01,62,12.17,30.67,0,"koto-ku",2010,"january"
2010-01-28,11.16,6.08,77,19.27,30.28,0,"koto-ku",2010,"january"
2010-01-29,7.1,6.08,86,10.14,30.31,0.41,"koto-ku",2010,"january"
2010-01-30,7.1,3.04,70,10.14,30.49,0.61,"koto-ku",2010,"january"
2010-01-31,8.11,4.06,72,8.11,30.52,0,"koto-ku",2010,"january"
2010-01-01,4.32,-2.16,66,9.72,32.01,0,"meguro-ku",2010,"january"
2010-01-02,5.4,-1.08,63,7.56,32.17,0,"meguro-ku",2010,"january"
2010-01-03,4.32,1.08,79,14.04,32.14,0,"meguro-ku",2010,"january"
2010-01-04,5.4,0,70,10.8,32.33,0,"meguro-ku",2010,"january"
2010-01-05,9.72,4.32,72,19.44,32.01,0.86,"meguro-ku",2010,"january"
2010-01-06,5.4,-1.08,64,11.88,32.11,0,"meguro-ku",2010,"january"
2010-01-07,6.48,-1.08,62,15.12,32.08,0,"meguro-ku",2010,"january"
2010-01-08,6.48,0,67,12.96,32.27,0,"meguro-ku",2010,"january"
2010-01-09,6.48,0,64,10.8,32.43,0,"meguro-ku",2010,"january"
2010-01-10,6.48,0,68,14.04,32.46,0,"meguro-ku",2010,"january"
2010-01-11,4.32,1.08,78,10.8,32.46,0,"meguro-ku",2010,"january"
