id,title,year,venue,doi,source,replacement_key
S58,Wireless sensor network to identify the reduction of meteorological gradients in greenhouse in subtropical conditions,2020,Journal of Agricultural Engineering,10.4081/jae.2020.1105,verified original seed,
S59,Smart Water Management Platform: IoT-Based Precision Irrigation for Agriculture,2019,Sensors,10.3390/s19020276,verified original seed,
S60,Monitoring Citrus Soil Moisture and Nutrients Using an IoT Based System,2017,Sensors,10.3390/s17030447,verified original seed,
S61,Using a Novel Wireless-Networked Decentralized Control Scheme under Unpredictable Environmental Conditions,2015,Sensors,10.3390/s151128690,verified original seed,
S62,A High Availability Networked Control System Architecture for Precision Agriculture,2018,2018 International Conference on Computer and Applications (ICCA),10.1109/comapp.2018.8460420,verified original seed,
S63,A layered IoT architecture for greenhouse monitoring and remote control,2019,SN Applied Sciences,10.1007/s42452-019-0227-8,verified original seed,
S64,Context-aware control and monitoring system with IoT and cloud support,2019,Computers and Electronics in Agriculture,10.1016/j.compag.2019.03.005,verified original seed,
S65,"Stability analysis for networked control systems with sampling, transmission protocols and input delays",2021,Nonlinear Analysis: Hybrid Systems,10.1016/j.nahs.2020.100974,verified original seed,
S66,Robust Wireless Sensor and Actuator Networks for Networked Control Systems,2019,Sensors,10.3390/s19071535,verified original seed,
S67,Smart &amp; Green: An Internet-of-Things Framework for Smart Irrigation,2019,Sensors,10.3390/s20010190,verified original seed,
