record_id,doi,openalex_id,oa_status,pdf_url,landing_url,fulltext_status,lookup_note
S11,10.1016/j.conengprac.2024.105908,https://openalex.org/W4392682412,hybrid,,https://doi.org/10.1016/j.conengprac.2024.105908,inaccessible_after_retrieval_attempts,Batch audit: OpenAlex and Unpaywall identify publisher OA/CC-BY landing location but no PDF URL; DOI resolved to ScienceDirect pdfft and returned HTTP 403; Crossref confirmed metadata/license; title/DOI discovery identified no usable repository full text.
S12,10.1016/j.ifacol.2022.11.135,https://openalex.org/W4312255788,diamond,,https://doi.org/10.1016/j.ifacol.2022.11.135,inaccessible_after_retrieval_attempts,"Batch audit: OpenAlex/Unpaywall report diamond OA and a WUR repository landing page, but provide no usable PDF; DOI/ScienceDirect pdfft returned HTTP 403; WUR landing page was accessible but did not provide retrievable article text; Crossref confirmed pp.177–182."
S13,10.3390/app12094235,https://openalex.org/W4293235168,gold,https://mdpi-res.com/d_attachment/applsci/applsci-12-04235/article_deploy/applsci-12-04235.pdf,https://doi.org/10.3390/app12094235,fulltext_reviewed,Pass-3 lawful OA retrieval succeeded and full text was reviewed with locators. Retrieved copy is the MDPI static article mirror.
S14,10.1016/j.inpa.2018.04.003,https://openalex.org/W2801221224,gold,https://www.sciencedirect.com/science/article/pii/S2214317317301828/pdf,https://doi.org/10.1016/j.inpa.2018.04.003,inaccessible_after_retrieval_attempts,Batch audit: OpenAlex/Unpaywall identify CC-BY-NC-ND publisher PDF; DOI/ScienceDirect pdfft returned HTTP 403; Crossref confirmed bibliographic record; no alternate readable repository copy found.
S15,10.1109/aiea66061.2025.11160534,https://openalex.org/W4414433545,closed,,https://doi.org/10.1109/aiea66061.2025.11160534,inaccessible_after_retrieval_attempts,Batch audit: OpenAlex classifies closed; Unpaywall reports no OA or repository copy; DOI and Crossref confirmed the IEEE proceedings record (pp.476–481); title/DOI searching found no lawful accessible full text.
S16,10.3390/s21165541,https://openalex.org/W3193663611,gold,https://pmc.ncbi.nlm.nih.gov/articles/PMC8402102/,https://doi.org/10.3390/s21165541,fulltext_reviewed,OA URL availability is not equivalent to full-text verification
S17,10.1145/3597311,https://openalex.org/W4376877336,hybrid,https://dl.acm.org/doi/pdf/10.1145/3597311,https://doi.org/10.1145/3597311,inaccessible_after_retrieval_attempts,"Batch audit: OpenAlex/Unpaywall identify CC-BY ACM PDF and EPFL/ETH repository locations; ACM PDF returned HTTP 403 and EPFL repository returned human-verification/WAF. Crossref abstract/metadata were accessible, but no readable full text was retrieved."
S18,10.1109/access.2024.3480522,https://openalex.org/W4403390465,gold,https://d-nb.info/1372381732/34,https://doi.org/10.1109/access.2024.3480522,fulltext_reviewed,Pass-2 lawful OA retrieval succeeded and full text was reviewed with locators.
S19,10.1109/tii.2025.3593862,https://openalex.org/W4413966877,closed,,https://doi.org/10.1109/tii.2025.3593862,inaccessible_after_attempts,"Batch audit: OpenAlex/Unpaywall: closed; no OA URL or repository full text. | Crossref/DOI landing: DOI resolved to IEEE Xplore document 11149673 (HTTP 202, landing response only; no text/PDF acquired). | Web/API location check: no lawful accessible full-text location returned."
S20,10.48550/arxiv.2405.11006,https://openalex.org/W4398191568,green,https://arxiv.org/pdf/2405.11006,http://arxiv.org/abs/2405.11006,fulltext_reviewed,Downloaded full text retained in bib_audit/fulltext_cache and audited with locators.
S21,10.1109/tac.2012.2215253,https://openalex.org/W2125794835,green,,http://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-111423,repository_oa_identified_but_not_acquired,"Batch audit: OpenAlex/Unpaywall: green repository OA location reported (submitted version); record inventory previously listed urn:nbn:se:kth:diva-111423. | Direct KTH repository PDF and record requests timed out after 30–60 seconds; no PDF was acquired. | HKUST repository alternate location redirected to CAPTCHA page, not full text. | Crossref/DOI landing resolved to IEEE TAC article (pp. 1041–1046) but no accessible PDF/HTML full text was acquired. | Semantic Scholar confirmed the same KTH green-PDF URL; this did not provide a retrievable copy."
S22,,,unknown,,,inaccessible_after_attempts_context_verified,Batch audit: Corpus metadata/Crossref enrichment recovers DOI 10.1016/j.ins.2018.04.055 (not populated in core CSV DOI field). | OpenAlex/Unpaywall reports closed and no OA/repository full-text location. | DOI/ScienceDirect PII PDF route (S0020025518303551) returned HTTP 403 HTML; web search identified no lawful accessible manuscript.
S23,10.1016/j.amc.2025.129307,https://openalex.org/W4406790722,closed,,https://doi.org/10.1016/j.amc.2025.129307,inaccessible_after_attempts,Batch audit: OpenAlex/Unpaywall: closed; no OA URL/repository full text. | Crossref/DOI landing resolved to Elsevier Linking Hub/ScienceDirect PII S0096300325000347 (landing HTML only; no full text acquired). | Web/API location check returned no lawful OA full-text copy.
S24,10.1109/crc67523.2025.11288265,https://openalex.org/W4417402983,closed,,https://doi.org/10.1109/crc67523.2025.11288265,inaccessible_after_attempts,Batch audit: OpenAlex/Unpaywall: closed; no OA URL/repository full text. | Crossref/DOI landing resolved to IEEE Xplore document 11288265 (HTTP 202 landing response only; no text/PDF acquired). | Web/API location check returned no lawful OA full-text copy.
S25,10.1109/tsmc.2024.3350157,https://openalex.org/W4391164443,closed,,https://doi.org/10.1109/tsmc.2024.3350157,inaccessible_after_attempts,Batch audit: OpenAlex/Unpaywall: closed; no OA URL/repository full text. | Crossref/DOI landing resolved to IEEE Xplore document 10413515 (HTTP 202 landing response only; no text/PDF acquired). | Web/API location check returned no lawful OA full-text copy.
S26,10.1109/cdc57313.2025.11312052,https://openalex.org/W7123344150,closed,,https://doi.org/10.1109/cdc57313.2025.11312052,inaccessible_after_attempts,Batch audit: OpenAlex/Unpaywall: closed; no OA URL/repository full text. | Crossref/DOI landing resolved to IEEE Xplore document 11312052 (HTTP 202 landing response only; no text/PDF acquired). | Web/API location check returned no lawful OA full-text copy.
S27,10.1080/00207721.2025.2467224,https://openalex.org/W4407910984,closed,,https://doi.org/10.1080/00207721.2025.2467224,inaccessible_after_attempts,Batch audit: OpenAlex/Unpaywall: closed; no OA URL/repository full text. | Crossref/DOI landing resolved to Taylor & Francis full-article page but returned HTTP 403; no HTML/PDF acquired. | Web/API location check returned no lawful OA full-text copy.
S28,10.1109/icit.2003.1290814,https://openalex.org/W2160692739,closed,,https://doi.org/10.1109/icit.2003.1290814,inaccessible_after_attempts,Batch audit: OpenAlex/Unpaywall: closed; no OA URL/repository full text. | Crossref/DOI landing resolved to IEEE Xplore document 1290814 (HTTP 202 landing response only; no text/PDF acquired). | Web/API location check returned no lawful OA full-text copy.
S29,10.1109/etfa.2015.7301402,https://openalex.org/W1963330257,green,,https://doi.org/10.1109/ETFA.2015.7301402,inaccessible_after_lawful_retrieval_attempts,"Batch audit: OpenAlex returned green/OA metadata and a DOI landing location, but no PDF URL. | Unpaywall indicated a repository record but supplied only the DOI landing URL, not a retrievable full-text file. | Crossref, DOI/IEEE landing, and direct IEEE article/PDF route were tried; the PDF route returned an HTML access/challenge response rather than article PDF."
S30,10.1109/tvt.2022.3159739,https://openalex.org/W4226126396,green,https://arxiv.org/pdf/2205.07070,http://arxiv.org/abs/2205.07070,fulltext_reviewed,Downloaded full text retained in bib_audit/fulltext_cache and audited with locators.
S31,10.1109/icmsp58539.2023.10170873,https://openalex.org/W4383988802,closed,,http://dx.doi.org/10.1109/icmsp58539.2023.10170873,inaccessible_after_lawful_retrieval_attempts,"Batch audit: OpenAlex and Unpaywall both report closed/no OA location. | Crossref and DOI/IEEE landing checked; no lawfully accessible PDF/HTML article was obtained. | Direct IEEE article/PDF route returned an HTML access/challenge response, not full text."
S32,10.1109/tssa68467.2025.11303843,https://openalex.org/W7117458875,closed,,https://doi.org/10.1109/tssa68467.2025.11303843,inaccessible_after_lawful_retrieval_attempts,"Batch audit: OpenAlex and Unpaywall both report closed/no OA location. | Crossref and DOI/IEEE landing checked; no lawfully accessible PDF/HTML article was obtained. | Direct IEEE article/PDF route returned an HTML access/challenge response, not full text."
S34,10.55981/j.mev.2025.910,https://openalex.org/W7117873528,diamond,https://mev.brin.go.id/mev/article/download/910/pdf,https://doi.org/10.55981/j.mev.2025.910,fulltext_reviewed,Downloaded full text retained in bib_audit/fulltext_cache and audited with locators.
S35,10.1371/journal.pone.0292971,https://openalex.org/W4387954069,gold,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0292971&type=printable,https://doi.org/10.1371/journal.pone.0292971,fulltext_reviewed,Downloaded full text retained in bib_audit/fulltext_cache and audited with locators.
S36,10.1007/s40030-024-00857-7,https://openalex.org/W4406200564,hybrid,https://link.springer.com/content/pdf/10.1007/s40030-024-00857-7.pdf,https://doi.org/10.1007/s40030-024-00857-7,fulltext_reviewed,Batch audit: OpenAlex/Unpaywall identify CC-BY hybrid publisher PDF. | Publisher PDF downloaded successfully and reviewed.
S37,10.1109/access.2025.3532447,https://openalex.org/W4406657857,gold,,https://doi.org/10.1109/access.2025.3532447,inaccessible_after_lawful_retrieval_attempts,"Batch audit: OpenAlex/Unpaywall classify the IEEE Access article gold CC-BY and point to DOI/DOAJ landing pages, but provide no PDF URL. | Crossref/DOI/IEEE landing and direct IEEE PDF route were tried; the direct route returned an HTML access/challenge response rather than article PDF."
S38,10.3390/electronics13101949,https://openalex.org/W4396955724,gold,https://mdpi-res.com/d_attachment/electronics/electronics-13-01949/article_deploy/electronics-13-01949.pdf,https://doi.org/10.3390/electronics13101949,fulltext_reviewed,Batch audit: OpenAlex/Unpaywall identify published CC-BY PDF and an institutional repository location. | The MDPI canonical PDF endpoint returned an access response in this environment; the lawful MDPI static publisher PDF was retrieved and reviewed.
S39,10.1016/j.agwat.2016.08.008,https://openalex.org/W2526615075,closed,,https://doi.org/10.1016/j.agwat.2016.08.008,inaccessible_after_lawful_retrieval_attempts,"Batch audit: OpenAlex and Unpaywall report closed/no OA location. | Crossref, DOI landing, ScienceDirect landing, and web/OA discovery routes yielded metadata/landing only; no lawful reviewable full text was retrieved."
S40,10.1007/978-3-319-19620-6_76,https://openalex.org/W2293406452,green,https://inria.hal.science/hal-01420287/file/978-3-319-19620-6_76_Chapter.pdf,https://inria.hal.science/hal-01420287,fulltext_reviewed,Pass-2 lawful OA retrieval succeeded and full text was reviewed with locators.
S41,10.62762/dia.2025.680966,https://openalex.org/W7082963829,hybrid,https://www.icck.org/filebob/uploads/storage/DIA_WlBM8jBTLPFzATZBC.pdf,https://doi.org/10.62762/dia.2025.680966,fulltext_reviewed,Downloaded full text retained in bib_audit/fulltext_cache and audited with locators.
S42,10.1371/journal.pone.0316911,https://openalex.org/W4408695140,gold,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0316911&type=printable,https://doi.org/10.1371/journal.pone.0316911,fulltext_reviewed,Downloaded full text retained in bib_audit/fulltext_cache and audited with locators.
S43,10.24425/ijet.2019.130266,https://openalex.org/W3004562783,gold,http://journals.pan.pl/Content/113745/PDF/9_2020.pdf,https://doi.org/10.24425/ijet.2019.130266,fulltext_reviewed,Downloaded full text retained in bib_audit/fulltext_cache and audited with locators.
S44,10.3390/act14090413,https://openalex.org/W4413430097,gold,https://doi.org/10.3390/act14090413,https://doi.org/10.3390/act14090413,fulltext_reviewed,"Batch audit: OpenAlex/Unpaywall identify CC-BY gold publisher locations and DOAJ record. | MDPI landing/full-text content was lawfully accessible and reviewed. Canonical PDF endpoint responded with access HTML in this environment, so the reviewed evidence is assigned E2 rather than asserting a retained publisher-PDF E3."
S45,10.3390/agronomy15020366,https://openalex.org/W4406985738,gold,https://www.mdpi.com/2073-4395/15/2/366/pdf?version=1738252300,https://doi.org/10.3390/agronomy15020366,fulltext_reviewed,OA URL availability is not equivalent to full-text verification
S46,10.3390/s20071827,https://openalex.org/W3013843088,gold,https://www.mdpi.com/1424-8220/20/7/1827/pdf?version=1609224120,https://doi.org/10.3390/s20071827,fulltext_reviewed,OA URL availability is not equivalent to full-text verification
S47,10.1109/access.2025.3643617,https://openalex.org/W4417284288,gold,,https://doi.org/10.1109/access.2025.3643617,inaccessible_not_reviewable,Batch audit: Inventory/OpenAlex OA location checked (gold/CC-BY; no PDF URL); Unpaywall location checked; DOI landing and IEEE stamp URL checked (HTTP 418); Crossref DOI metadata/licence checked; title/DOI web search attempted. No lawful reviewable full text retrieved.
S48,10.4236/jcc.2025.133001,https://openalex.org/W4408159211,diamond,https://www.scirp.org/pdf/jcc2025133_11733054.pdf,https://doi.org/10.4236/jcc.2025.133001,fulltext_reviewed,Downloaded full text retained in bib_audit/fulltext_cache and audited with locators.
S49,10.1016/j.biosystemseng.2016.11.005,https://openalex.org/W2549609427,closed,,https://doi.org/10.1016/j.biosystemseng.2016.11.005,inaccessible_not_reviewable,Batch audit: OpenAlex/Unpaywall checked (closed; no PDF); DOI/publisher landing checked; University of Thessaly repository metadata location checked; title/DOI web search attempted. No downloadable lawful full text retrieved.
S50,10.21923/jesd.443576,https://openalex.org/W2902931279,diamond,https://dergipark.org.tr/en/download/article-file/587896,https://doi.org/10.21923/jesd.443576,inaccessible_not_reviewable,Batch audit: OpenAlex/Unpaywall OA PDF and DergiPark repository locations checked; direct PDF retrieval attempted but network connection failed (curl status 000); DOI landing and title/DOI web search attempted. No reviewable text retrieved.
S51,10.1109/icosec51865.2021.9591855,https://openalex.org/W3213740972,closed,,https://doi.org/10.1109/icosec51865.2021.9591855,inaccessible_not_reviewable,Batch audit: OpenAlex/Unpaywall checked (closed; no PDF); DOI/IEEE landing checked; Crossref metadata and title/DOI web search attempted. No lawful reviewable full text retrieved.
S52,10.3390/s20236865,https://openalex.org/W3107145109,gold,https://www.mdpi.com/1424-8220/20/23/6865/pdf?version=1606816583,https://doi.org/10.3390/s20236865,fulltext_reviewed,OA URL availability is not equivalent to full-text verification
S55,10.1088/1755-1315/1012/1/012090,https://openalex.org/W4224246716,diamond,https://iopscience.iop.org/article/10.1088/1755-1315/1012/1/012090/pdf,https://doi.org/10.1088/1755-1315/1012/1/012090,fulltext_reviewed,Downloaded full text retained in bib_audit/fulltext_cache and audited with locators.
S56,10.1109/ccdc52312.2021.9601377,https://openalex.org/W3215856717,closed,,https://doi.org/10.1109/ccdc52312.2021.9601377,inaccessible_not_reviewable,Batch audit: OpenAlex/Unpaywall checked (closed; no PDF); DOI/IEEE landing checked; Crossref metadata and title/DOI web search attempted. No lawful reviewable full text retrieved.
S57,10.35940/ijrte.c6538.098319,https://openalex.org/W4252213607,diamond,https://www.ijrte.org/wp-content/uploads/papers/v8i3/C6538098319.pdf,https://doi.org/10.35940/ijrte.c6538.098319,fulltext_reviewed,OA URL availability is not equivalent to full-text verification
S58,10.4081/jae.2020.1105,https://openalex.org/W3100710463,gold,https://www.agroengineering.org/index.php/jae/article/download/1105/869,https://doi.org/10.4081/jae.2020.1105,fulltext_reviewed,Downloaded full text retained in bib_audit/fulltext_cache and audited with locators.
S59,10.3390/s19020276,https://openalex.org/W2908948085,gold,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6359213/,https://doi.org/10.3390/s19020276,fulltext_reviewed,Batch audit: OpenAlex/Unpaywall: gold CC-BY publisher PDF and repository copies. | MDPI PDF endpoint returned an access challenge in this environment; lawful PubMed Central XML/full text was retrieved and reviewed.
S60,10.3390/s17030447,https://openalex.org/W2590191707,gold,https://pmc.ncbi.nlm.nih.gov/articles/PMC5375733/,https://doi.org/10.3390/s17030447,fulltext_reviewed,Batch audit: OpenAlex/Unpaywall: gold CC-BY publisher PDF and PMC repository record. | MDPI PDF endpoint returned an access challenge; lawful PMC full-text XML was retrieved and reviewed.
S61,10.3390/s151128690,https://openalex.org/W2178782813,gold,https://pmc.ncbi.nlm.nih.gov/articles/PMC4695961/,https://doi.org/10.3390/s151128690,fulltext_reviewed,Batch audit: OpenAlex/Unpaywall: gold CC-BY publisher PDF and PMC repository record. | MDPI PDF endpoint returned an access challenge; lawful PMC full-text XML was retrieved and reviewed.
S62,10.1109/comapp.2018.8460420,https://openalex.org/W2890486325,closed,,https://doi.org/10.1109/comapp.2018.8460420,inaccessible_after_search,"Batch audit: OpenAlex: closed, no PDF/repository location. | Unpaywall: is_oa=false, best_oa_location=null, no repository copy. | Crossref metadata and DOI landing resolved to IEEE Xplore record 8460420; landing response did not provide lawful accessible full text. | Title/DOI web search found metadata/landing references only, not a lawful full text."
S63,10.1007/s42452-019-0227-8,https://openalex.org/W2914207685,bronze,https://link.springer.com/content/pdf/10.1007/s42452-019-0227-8.pdf,https://doi.org/10.1007/s42452-019-0227-8,fulltext_reviewed,Pass-2 lawful OA retrieval succeeded and full text was reviewed with locators.
S64,10.1016/j.compag.2019.03.005,https://openalex.org/W2924352529,closed,,https://doi.org/10.1016/j.compag.2019.03.005,inaccessible_after_search,"Batch audit: OpenAlex: closed, no PDF/repository location. | Unpaywall: is_oa=false and no repository copy. | Crossref and DOI/Elsevier landing resolved the article (PII S0168169918315862) but did not provide lawful accessible full text. | Title/DOI web search did not identify a lawful full-text copy."
S65,10.1016/j.nahs.2020.100974,https://openalex.org/W3088316960,closed,,https://doi.org/10.1016/j.nahs.2020.100974,inaccessible_after_search,"Batch audit: OpenAlex: closed, no PDF/repository location. | Unpaywall: is_oa=false and no repository copy. | Crossref and DOI/Elsevier landing resolved the article (PII S1751570X20301217) but did not provide lawful accessible full text. | Title/DOI web search did not identify a lawful full-text copy."
S66,10.3390/s19071535,https://openalex.org/W2930500991,gold,https://pmc.ncbi.nlm.nih.gov/articles/PMC6479891/,https://doi.org/10.3390/s19071535,fulltext_reviewed,Batch audit: OpenAlex/Unpaywall: gold CC-BY publisher PDF and PMC repository record. | MDPI PDF endpoint returned an access challenge; lawful PMC full-text XML was retrieved and reviewed.
S67,10.3390/s20010190,https://openalex.org/W2998274679,gold,https://pmc.ncbi.nlm.nih.gov/articles/PMC6983084/,https://doi.org/10.3390/s20010190,fulltext_reviewed,Batch audit: OpenAlex/Unpaywall: gold CC-BY publisher PDF and PMC repository record. | MDPI PDF endpoint returned an access challenge; lawful PMC full-text XML was retrieved and reviewed.
