key,bib_title,bib_year,bib_author,bib_doi,verified_title,verified_year,verified_author,verified_doi,match_score,match_status,provider,is_mismatch
van2019construction,Construction of a VPN System for Remote Programming and Monitoring of Environmental Parameters for Serving Plant Production in Greenhouses,2019,"Van Dieu, Nguyen and Duong, Ngo Tri",,Construction of a VPN System for Remote Programming and Monitoring of Environmental Parameters for Serving Plant Production in Greenhouses,2019,"Dieu, Nguyen Van, Ngo, Duong Tri",10.31817/vjas.2019.2.1.05,1.0,high,crossref,yes
huynh2023smart,Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development,2023,"Huynh, Hiep Xuan and Tran, Linh Nhut and Duong-Trung, Nghia",,Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development,2023,"Huynh, Hiep Xuan, Tran, Linh Nhut, Duong-Trung, Nghia",10.1371/journal.pone.0292971,1.0,high,crossref,no
trangcong,c{\^o}ng nghệ kết nối trong sản xuất n{\^o}ng nghiệp th{\^o}ng minh v{\`a} {\dj}ịnh hướng cho Việt nam,,"Trang, Lưu Thị Quỳnh and Huy, Vương Quang and Trung, V{\~u} Minh and Sơn, Nguyễn Trường and H{\`a}, Chu {\DJ}ức",,Các yếu tố ảnh hưởng đến dự định ứng dụng công nghệ cao trong sản xuất nông nghiệp của thanh niên Việt Nam,2024,"Lê Thu, Hạnh, Cấn Thị Thu, Hương",10.54404/jts.2024.196v.02,0.587,low,crossref,yes
davcic2007quadratic,Quadratic stabilization of linear networked control systems via simultaneous protocol and controller design,2007,"Da{\v{c}}i{\'c}, Dragan B and Ne{\v{s}}i{\'c}, Dragan",,Quadratic stabilization of linear networked control systems via simultaneous protocol and controller design,2007,"Dačić, Dragan B., Nešić, Dragan",10.1016/j.automatica.2006.12.027,1.0,high,crossref,yes
peng2018survey,A survey on recent advances in event-triggered communication and control,2018,"Peng, Chen and Li, Fuqiang",,A survey on recent advances in event-triggered communication and control,2018,"Peng, Chen, Li, Fuqiang",10.1016/j.ins.2018.04.055,1.0,high,crossref,no
rethlefsen2021prisma,PRISMA-S: an extension to the PRISMA statement for reporting literature searches in systematic reviews,2021,"Rethlefsen, Melissa L and Kirtley, Shona and Waffenschmidt, Siw and Ayala, Ana Patricia and Moher, David and Page, Matthew J and Koffel, Jonathan B",,PRISMA-S: an extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews,2021,"Rethlefsen, Melissa L., Kirtley, Shona, Waffenschmidt, Siw, Ayala, Ana Patricia, Moher, David, Page, Matthew J., Koffel, Jonathan B., , , Blunt, Heather, Brigham, Tara, Chang, Steven, Clark, Justin, Conway, Aislinn, Couban, Rachel, de Kock, Shelley, Farrah, Kelly, Fehrmann, Paul, Foster, Margaret, Fowler, Susan A., Glanville, Julie, Harris, Elizabeth, Hoffecker, Lilian, Isojarvi, Jaana, Kaunelis, David, Ket, Hans, Levay, Paul, Lyon, Jennifer, McGowan, Jessie, Murad, M. Hassan, Nicholson, Joey, Pannabecker, Virginia, Paynter, Robin, Pinotti, Rachel, Ross-White, Amanda, Sampson, Margaret, Shields, Tracy, Stevens, Adrienne, Sutton, Anthea, Weinfurter, Elizabeth, Wright, Kath, Young, Sarah",10.1186/s13643-020-01542-z,1.0,high,crossref,no
priem2022openalex,"OpenAlex: A fully-open index of scholarly works, authors, venues, institutions, and concepts",2022,"Priem, Jason and Piwowar, Heather and Orr, Richard",,"OpenAlex: A fully-open index of scholarly works, authors, venues, institutions, and concepts",2022,"Jason R Priem, Heather Piwowar, Richard A. Orr",10.5281/zenodo.6936227,1.0,high,openalex,yes
bramer2016deduplication,De-duplication of database search results for systematic reviews in EndNote,2016,"Bramer, Wichor M. and Giustini, Dean and de Jonge, Gerdien B. and Holland, Leslie and Bekhuis, Tanja",,De-duplication of database search results for systematic reviews in EndNote,2016,"Bramer, Wichor M., Giustini, Dean, de Jonge, Gerdien B., Holland, Leslie, Bekhuis, Tanja",10.3163/1536-5050.104.3.014,1.0,high,crossref,no
kwon2015reference,Identifying and removing duplicate records from systematic review searches,2015,"Kwon, Yoon and Lemieux, Monique and McTavish, Jill and Wathen, Nadine",10.3163/1536-5050.103.4.004,Identifying and removing duplicate records from systematic review searches,2015,"Kwon, Yoojin, Lemieux, Michelle, McTavish, Jill, Wathen, Nadine",10.3163/1536-5050.103.4.004,1.0,high,crossref,no
murad2019continuous,When continuous outcomes are measured using different scales: guide for meta-analysis and interpretation,2019,"Murad, Mohammad Hassan and Wang, Zhen and Chu, Haitao and Lin, Lifeng",,When continuous outcomes are measured using different scales: guide for meta-analysis and interpretation,2019,"Murad, Mohammad Hassan, Wang, Zhen, Chu, Haitao, Lin, Lifeng",10.1136/bmj.k4817,1.0,high,crossref,no
li2019collecting,Collecting data,2019,"Li, Tianjing and Higgins, Julian PT and Deeks, Jonathan J",,Collecting data,1992,"McDonald, Christine",10.1007/978-1-349-22297-1_6,1.0,high,crossref,yes
davcic2007quadratic,Quadratic stabilization of linear networked control systems via simultaneous protocol and controller design,2007,"Dačić, D. B. and Nešić, D.",,Quadratic stabilization of linear networked control systems via simultaneous protocol and controller design,2007,"Dačić, Dragan B., Nešić, Dragan",10.1016/j.automatica.2006.12.027,1.0,high,crossref,no
li2024eventtriggered,A Fixed-Time Consensus Control With Prescribed Performance for Multi-Agent Systems Under Full-State Constraints,2025,"Long, Shangbin and Huang, Weicong and Wang, Jianhui and Wang, Zian",10.1109/TASE.2024.3445135,A Fixed-Time Consensus Control With Prescribed Performance for Multi-Agent Systems Under Full-State Constraints,2025,"Long, Shangbin, Huang, Weicong, Wang, Jianhui, Liu, Jiarui, Gu, Yixiang, Wang, Zian",10.1109/TASE.2024.3445135,1.0,high,crossref,no
zhang2025lora,Research and Development of an IoT Smart Irrigation System for Farmland Based on LoRa and Edge Computing,2025,"Zhang, Ying and Wang, Xingchen and Jin, Liyong and Ni, Jun and Zhu, Yan and Cao, Weixing and Jiang, Xiaoping",10.3390/agronomy15020366,Research and Development of an IoT Smart Irrigation System for Farmland Based on LoRa and Edge Computing,2025,"Zhang, Ying, Wang, Xingchen, Jin, Liyong, Ni, Jun, Zhu, Yan, Cao, Weixing, Jiang, Xiaoping",10.3390/agronomy15020366,1.0,high,crossref,no
sagali2025lora,LoRa-Based Smart Agriculture Monitoring and Automatic Irrigation System,2025,"Enock, Kayembe Sagali and Sagali, Mungusa Jonas and Jeannick, Umba Ilunga and Chen, Daru",10.4236/jcc.2025.133001,LoRa-Based Smart Agriculture Monitoring and Automatic Irrigation System,2025,"Enock, Kayembe Sagali, Sagali, Mungusa Jonas, Jeannick, Umba Ilunga, Chen, Daru",10.4236/jcc.2025.133001,1.0,high,crossref,no
artetxe2024fuzzy,"Smart IoT Irrigation System Based on Fuzzy Logic, LoRa, and Cloud Integration",2024,"Artetxe, Eneko and Barambones, Oscar and Toral, Imanol Mart{\'\i}n and Uralde, J. and Calvo, I. and del Rio, Asier",10.3390/electronics13101949,"Smart IoT Irrigation System Based on Fuzzy Logic, LoRa, and Cloud Integration",2024,"Artetxe, Eneko, Barambones, Oscar, Martín Toral, Imanol, Uralde, Jokin, Calvo, Isidro, del Rio, Asier",10.3390/electronics13101949,1.0,high,crossref,no
froiz2020lorawan,"Design, Implementation, and Empirical Validation of an IoT Smart Irrigation System for Fog Computing Applications Based on LoRa and LoRaWAN Sensor Nodes",2020,"Froiz-M{\'\i}guez, I. and Lopez-Iturri, P. and Fraga-Lamas, P. and Celaya-Echarri, M. and Blanco-Novoa, O. and Azpilicueta, L. and Falcone, F. and Fern{\'a}ndez-Caram{\'e}s, T.M.",10.3390/s20236865,"Design, Implementation, and Empirical Validation of an IoT Smart Irrigation System for Fog Computing Applications Based on LoRa and LoRaWAN Sensor Nodes",2020,"Froiz-Míguez, Iván, Lopez-Iturri, Peio, Fraga-Lamas, Paula, Celaya-Echarri, Mikel, Blanco-Novoa, Óscar, Azpilicueta, Leyre, Falcone, Francisco, Fernández-Caramés, Tiago M.",10.3390/s20236865,1.0,high,crossref,yes
ahmed2025lora,Vegetation Effects on LoRa-Based Wireless Sensor Communication for Remote Monitoring of Automatic Orchard Irrigation Status,2025,"Ahmed, Shahriar and Reza, Md Nasim and Samsuzzaman and Karim, Md Rejaul and Jin, Hongbin and Kim, Heetae and Chung, Sun-Ok",10.3390/iot6010002,Vegetation Effects on LoRa-Based Wireless Sensor Communication for Remote Monitoring of Automatic Orchard Irrigation Status,2024,"Ahmed, Shahriar, Reza, Md Nasim, Samsuzzaman, , Karim, Md Rejaul, Jin, Hongbin, Kim, Heetae, Chung, Sun-Ok",10.3390/iot6010002,1.0,high,crossref,yes
patle2025wsn,Development and evaluation of wireless sensor network (WSN) based automated drip irrigation system under protected cultivation,2025,"Patle, Ghanshyam Tikaram and Kharpude, Sudhir Narayan and Rao, K. V. Ramana and Sharma, Vikram and Sherpa, Tshering and Rai, Bijay and Sopharat, Jessada",,WIRELESS SENSOR NETWORK BASED REMOTE DRIP IRRIGATION SYSTEM,2018,"Bingöl, Okan, Özkaya, Burçin, Bayram, Mustafa",10.21923/jesd.443576,0.612,low,crossref,yes
karunathilake2023smart,The Path to Smart Farming: Innovations and Opportunities in Precision Agriculture,2023,"Karunathilake, E. M. B. M. and Le, Anh Tuan and Heo, Seong and Chung, Yong Suk and Mansoor, Sheikh",10.3390/agriculture13081593,The Path to Smart Farming: Innovations and Opportunities in Precision Agriculture,2023,"Karunathilake, E. M. B. M., Le, Anh Tuan, Heo, Seong, Chung, Yong Suk, Mansoor, Sheikh",10.3390/agriculture13081593,1.0,high,crossref,no
rahman2023security,Security Protocols in Smart Agriculture: Challenges and Solutions,2023,"Rahman, Arafatur and Islam, Md Jahidul and Montieri, Antonio and Pescape, Antonio",10.1016/j.cose.2022.103025,A secure annuli CAPTCHA system,2023,"Zhang, Jie, Tsai, Min-Yen, Kitchat, Kotcharat, Sun, Min-Te, Sakai, Kazuya, Ku, Wei-Shinn, Surasak, Thattapon, Thaipisutikul, Tipajin",10.1016/j.cose.2022.103025,0.34,low,crossref,yes
yue2014event,Event-triggered predictive control for networked systems with communication delays compensation,2014,"Yue, Dong and Yin, Xiuxia and Hu, Songlin",10.1109/IECON.2014.7049044,Event-triggered predictive control for networked systems with communication delays compensation,2014,"Yue, Dong, Yin, Xiuxia, Hu, Songlin",10.1109/IECON.2014.7049044,1.0,high,crossref,no
vietnghien,Nghiên cứu kinh nghiệm phát triển nông nghiệp thông minh ở Israel và bài học rút ra đối với tỉnh Lâm Đồng,2022,"Trần, Viết Sung and T., X. Việt",,Kinh nghiệm phát triển nông nghiệp bền vững của Trung Quốc và bài học cho Việt Nam,2025,"Đỗ Thị, Ngân",10.66181/2025.04(12).05,0.67,low,crossref,yes
le2019iot,Thiết kế hệ thống giám sát nhà kính sử dụng cảm biến IoT và giao thức MQTT,2019,"Lê, Quang Huy",,Thiết kế mô hình hệ thống phanh chủ động sử dụng cảm biến siêu âm và cảm biến IR,2022,,10.57001/huih5804.93,0.643,low,crossref,yes
hanh2021greenhouse,Phát triển mô hình nhà kính thông minh sử dụng ESP8266 và giám sát qua Web,2021,"Nguyễn, Thị Hạnh",,NGHIÊN CỨU XÂY DỰNG MÔ HÌNH NHÀ THÔNG MINH SỬ DỤNG RASPBERRY PI 3,2025,"Hoàng Đại, Long, Trương Quốc, Khánh, Nguyễn Hoàng Thanh, Tùng, Nguyễn Văn, Ân",10.64302/joshusc.v31n1e.1334,0.576,low,crossref,yes
dung2023lora,Hệ thống giám sát và điều khiển tưới nước tự động sử dụng công nghệ LoRa tại khu vực nông thôn,2023,"Nguyễn, Quốc Dũng and cộng sự",,"GIẢI PHÁP IoT ĐỂ GIÁM SÁT, ĐIỀU KHIỂN HỆ THỐNG CHIẾU SÁNG CÔNG CỘNG ĐÔ THỊ SỬ DỤNG CÔNG NGHỆ LED TRÊN CƠ SỞ  CÔNG NGHỆ LoRa",2017,"Đào, Hà Mạnh, Hùng, Đỗ Xuân",10.15625/vap.2017.00027,0.691,low,crossref,yes
vinh2024aqua,Mô hình điều khiển giám sát chất lượng nước ao nuôi thủy sản dựa trên IoT và 4G,2024,"Trần, Quang Vinh",,THIẾT KẾ VÀ THI CÔNG HỆ THỐNG GIÁM SÁT CHẤT LƯỢNG NƯỚC THỜI GIAN THỰC NUÔI THỦY SẢN NƯỚC LỢ LỒNG BÈ,2021,"NGỌC TRÂN, LÊ",10.46242/jst-iuh.v45i01.1010,0.618,low,crossref,yes
phuc2022event,Thuật toán điều khiển kích hoạt sự kiện trong hệ thống giám sát tưới nhỏ giọt,2022,"Đoàn, Minh Phúc",,Xây dựng và điều khiển giám sát hệ thống nấu sữa thực vật tự động,2023,"Phạm, Trọng Nguyên, Nguyễn, Nguyễn Ngọc Châu, Nguyễn, Thị Thúy Hồng, Huỳnh, Phạm Bảo Ngọc, Nguyễn, Như Tương An, Đỗ, Vinh Quang",10.22144/ctu.jvn.2023.005,0.595,low,crossref,yes
dung2023codesign,Mô hình đồng thiết kế giao thức và bộ điều khiển trên nền tảng LoRa cho nhà kính,2023,"Trần, Hữu Dũng",,"THIẾT KẾ BỘ PHÁT XUNG, CHIA TẦN TRÊN NỀN TẢNG FPGA VÀ VHDL",2021,"Ngọc, Phạm Văn, Tùng, Nguyễn Thanh",10.34238/tnu-jst.5081,0.524,low,crossref,yes
hillel1998environmental,"Environmental Soil Physics: Fundamentals, Applications, and Environmental Considerations",1998,"Hillel, Daniel",,Soil Physics: Agricultural and Environmental Applications,2001,"Lal, R.",10.1097/00010694-200110000-00007,0.61,low,crossref,yes
vanhenten1994greenhouse,Greenhouse climate management: an optimal control approach,1994,"Van Henten, Eldert J.",,Greenhouse climate management : an optimal control approach,None,"van Henten, E.J.",10.18174/205106,1.0,high,crossref,yes
rodriquez2002dynamic,Modelling and simulation of greenhouse climate using {Dymola},2002,"Rodr{\'i}guez, F. and Berenguel, M. and Yebra, L. J. and Dormido, S.",10.3182/20020721-6-es-1901.01322,MODELLING AND SIMULATION OF GREENHOUSE CLIMATE USING DYMOLA,2002,"Rodríguez, F., Yebra, L.J., Berenguel, M., Dormido, S.",10.3182/20020721-6-es-1901.01322,1.0,high,crossref,yes
yue2004h,$H_\infty$ control of networked control systems with unknown transmission delay,2004,"Yue, D. and Han, Q.-L. and Lam, J.",,Event-Triggered $H_{\infty }$ Control of Networked Control Systems With Distributed Transmission Delay,2020,"Yan, Shen, Shen, Mouquan, Nguang, Sing Kiong, Zhang, Guangming",10.1109/tac.2019.2953460,0.814,medium,crossref,yes
zhang2013network,Networked control systems: A survey of trends and techniques,2020,"Zhang, Xian-Ming and Han, Qing-Long and Ge, Xiaohua and Ding, Derui and Ding, Lei and Yue, Dong and Peng, Chen",10.1109/JAS.2019.1911651,Networked control systems: a survey of trends and techniques,2020,"Zhang, Xian-Ming, Han, Qing-Long, Ge, Xiaohua, Ding, Derui, Ding, Lei, Yue, Dong, Peng, Chen",10.1109/JAS.2019.1911651,1.0,high,crossref,no
heinzelman2000energy,Energy-efficient communication protocol for wireless microsensor networks,2000,"Heinzelman, W. R. and Chandrakasan, A. and Balakrishnan, H.",,Energy-efficient communication protocol for wireless microsensor networks,None,"Heinzelman, W.R., Chandrakasan, A., Balakrishnan, H.",10.1109/hicss.2000.926982,1.0,high,crossref,yes
lyapunov1992general,The General Problem of the Stability of Motion,1892,"Lyapunov, Aleksandr Mikhailovich",,The general problem of the stability of motion,1992,"LYAPUNOV, A. M.",10.1080/00207179208934253,1.0,high,crossref,yes
krasovskii1963stability,Stability of Motion: Applications of Lyapunov's Second Method to Differential Systems and Equations with Delay,1963,"Krasovskii, Nikolai Nikolaevich",,Stability of Motion: Applications of Lyapunov's Second Method to Differential Systems and Equations with Delay,1963,N. N. Krasovskiĭ,,1.0,high,openalex,yes
boyd1994linear,Linear Matrix Inequalities in System and Control Theory,1994,"Boyd, Stephen and El Ghaoui, Laurent and Feron, Eric and Balakrishnan, Venkataramanan",,Linear Matrix Inequalities In System And Control Theory,1998,"Yaz, E.E.",10.1109/jproc.1998.735454,1.0,high,crossref,yes
choudhary2025overview,A Comprehensive Survey on Smart Agriculture using {IoT},2023,"Sinha, Bhumika and Dhanalakshmi, R.",10.1109/ICACRS58579.2023.10404197,A Comprehensive Survey on Smart Agriculture using IoT,2023,"Pavithra, R, Priyadharshini, M.Indira, DhivyaShree, M",10.1109/ICACRS58579.2023.10404197,1.0,high,crossref,yes
hasan2022deep,Deep Learning Techniques for Smart Agriculture Applications,2023,V. B. and Anitha and C. R. and Radhika,10.4018/978-1-6684-9975-7.ch001,Deep Learning Techniques for Smart Agriculture Applications,2023,"Mishra, Ankita, Banerjee, Sourik, Singh, Brijendra",10.4018/978-1-6684-9975-7.ch001,1.0,high,crossref,yes
liu2023survey,Survey of Intelligent Agricultural {IoT} Based on {5G},2023,"Liu, Jun and Shu, Lei and Lu, Xu and Liu, Ye",10.3390/electronics12102336,Survey of Intelligent Agricultural IoT Based on 5G,2023,"Liu, Jun, Shu, Lei, Lu, Xu, Liu, Ye",10.3390/electronics12102336,1.0,high,crossref,no
